group_id,text,label,language,script,category,has_url,variant_type
PHISH_KYC_01,"Dear customer, your SBI account will be blocked today due to pending KYC. Update PAN immediately at http://sbi-pan-kyc.in",1,english,latin,kyc_fraud,True,original_english
PHISH_KYC_01,"ಗ್ರಾಹಕರೇ, KYC ಬಾಕಿ ಇರುವುದರಿಂದ ನಿಮ್ಮ SBI ಖಾತೆಯನ್ನು ಇಂದು ನಿರ್ಬಂಧಿಸಲಾಗುತ್ತದೆ. ತಕ್ಷಣ ಪಾನ್ ಅಪ್‌ಡೇಟ್ ಮಾಡಿ: http://sbi-pan-kyc.in",1,kannada,kannada,kyc_fraud,True,native_kannada_translation
PHISH_KYC_01,"Grahakare, nimma SBI account ivattu block agatte pending KYC inda. Koodale PAN update madi: http://sbi-pan-kyc.in",1,kannada,latin,kyc_fraud,True,transliterated_kannada
PHISH_KYC_01,"Dear customer, nimma SBI bank account suspend agutte today due to KYC. Please click link update madi: http://sbi-pan-kyc.in",1,code-mixed,latin,kyc_fraud,True,code_mixed
PHISH_KYC_02,HDFC Bank Alert: Your net banking is deactivated. Submit Aadhaar verification within 24 hours at http://hdfc-aadhaar-verify.com,1,english,latin,kyc_fraud,True,original_english
PHISH_KYC_02,HDFC ಬ್ಯಾಂಕ್ ಎಚ್ಚರಿಕೆ: ನಿಮ್ಮ ನೆಟ್ ಬ್ಯಾಂಕಿಂಗ್ ನಿಷ್ಕ್ರಿಯಗೊಂಡಿದೆ. 24 ಗಂಟೆಗಳಲ್ಲಿ ಆಧಾರ್ ಪರಿಶೀಲನೆ ಸಲ್ಲಿಸಿ: http://hdfc-aadhaar-verify.com,1,kannada,kannada,kyc_fraud,True,native_kannada_translation
PHISH_KYC_02,HDFC Bank Alert: Nimma net banking deactivate aagide. 24 ghanteyalli Aadhaar verification maadi: http://hdfc-aadhaar-verify.com,1,kannada,latin,kyc_fraud,True,transliterated_kannada
PHISH_KYC_02,HDFC Alert: Net banking deactivate aytu. Urgent agi Aadhaar verify madi link alli http://hdfc-aadhaar-verify.com or card block agatte.,1,code-mixed,latin,kyc_fraud,True,code_mixed
PHISH_KYC_03,Canara Bank: Your debit card is locked. Fill out the unblocking form to avoid permanent termination: http://canara-unblock-portal.net,1,english,latin,kyc_fraud,True,original_english
PHISH_KYC_03,ಕೆನರಾ ಬ್ಯಾಂಕ್: ನಿಮ್ಮ ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಲಾಕ್ ಆಗಿದೆ. ಖಾಯಂ ರದ್ದತಿಯನ್ನು ತಪ್ಪಿಸಲು ಅನ್‌ಬ್ಲಾಕ್ ಫಾರ್ಮ್ ಭರ್ತಿ ಮಾಡಿ: http://canara-unblock-portal.net,1,kannada,kannada,kyc_fraud,True,native_kannada_translation
